"Im Demo Modus kann das letzte Zimmer nicht gelöscht werden","You can not remove the last room if the programm is in demo mode","NULL","NULL","In demo modus kan de laaste kamer niet gewist worden"
"Der Testbenutzer kann im Demo-Modus nicht verändert werden.","You can not change the test user in the demo mode.","NULL","NULL","De testgebruiker kan in demo modus niet aangepast worden."
"Es ist mindestens eine Übernachtung erforderlich","It is at least one overnight necessary","C'est au moins un nécessaire durant la nuit","NULL","Minstens één overnachting is noodzakelijk"
"Sie können den Belegungsplan betrachten,<br>indem Sie eine Auswahl treffen und auf [Belegungsplan anzeigen] klicken...","You can check the availability overview<br>if you click on [show availability overview]...","Vous pouvez vérifier la vue de disponibilité au mement que vous auvais choisit votre choix. Ensuite vous clique sur la vue de [Disponibilité]...","Võite vaadata broneerimisplaani,<br> kui teete valiku ja vajutate [Näita broneerimisplaani]","U kunt de beschikbaarheid bekijken,<br>wanneer u een keuze maakt en op [Reserveringsoverzicht tonen] klikt…","NULL"
"Belegungsplan für:","Availability overview for:","Disponibilité pour:","Broneerimine","Reserveringsoverzicht voor:","NULL"
"Belegungsplan anzeigen","Show availability overview","Montrer la vue de Disponibilité","Näita broneerimisplaani","Reserveringsoverzicht tonen","NULL"
"...oder eine automatische Suche durchführen, <br>indem sie unterstehende Daten angeben und [Suche starten] klicken.","...or you can fill out the form below and click on [start search].","ou compléter une recherche automatiquement et vous complitez la form ci desous et cliqueter desus [commencez la recherche].","...või täitke ankeet (otsingu väljad) ja vajutage nuppu [Otsing].","...of een automatische zoekopdracht uitvoeren,<br>wanneer u navolgende gegevens invuld en op [Zoeken starten] klikt.","NULL"
"Jahr","Year","Année","Aasta","Jaar","NULL"
"Monat","Month","Mois","Kuu","Maand","NULL"
"belegt","occupied","occupé","hõivatud","gereserveerd","NULL"
"Suchformular öffnen","open search form","Ouvrez le formular de recherche","Ava ankeet","Zoekformulier openen","NULL"
"Jahresübersicht öffnen","open overview for one year","disponibilités sur l´année","ava aasta ülevaade","Jaaroverzicht openen","NULL"
"frei","available","libre","vaba","vrij","NULL"
"Anfrage","Reservation","Réservation","Broneering","Reservering","NULL"
"von","from","de","alates","van","NULL"
"Januar","january","janvier","jaanuar","januari","NULL"
"Februar","februar","février","veebruar","februari","NULL"
"März","march","mars","märts","maart","NULL"
"April","april","avril","aprill","april","NULL"
"Mai","may","mai","mai","mei","NULL"
"Juni","june","juin","juuni","juni","NULL"
"Juli","july","juillet","juuli","juli","NULL"
"August","august","août","august","augustus","NULL"
"September","september","septembre","september","september","NULL"
"Oktober","october","octobre","oktoober","oktober","NULL"
"November","november","novembre","november","november","NULL"
"Dezember","december","décembre","detsember","december","NULL"
"bis","to","au","kuni","tot","NULL"
"Anfrage absenden...","send reservation","Envoi de réservation...","Saada broneering","Reservering versturen","NULL"
"Anfrage per E-Mail","send request with e-mail","Renseignement par e-mail","Lisainformatsioon e-maili teel","Aanvraag per E-Mail","NULL"
"<p>Das gewählte Monat ist bereits abgelaufen!</p><p>Bitte korrigieren Sie Ihre Anfrage!</p>","<p>The selected month is expired!</p><p>Please select a correct one!</p>","<p>le mois choisi est déjà passé</p><p>s&acute;il vous plaît choisissez un mois correct</p>","valitud kuu on mõõdas! </p><p> Palun parandage oma päring","<p>De gekozen maand ligt in het verleden!</p><p>Uw aanvraag a.u.b. aanpassen!</p>","NULL"
"Das gewählte Datum ist bereits abgelaufen.","The selected date already ran off.","La date choisie a coulé déjà.","NULL","De gekozen datum ligt in het verleden."
"Belegungsplan","Availability overview","Disponibilité des chambres","Broneerimisplaan","Reserveringsoverzicht","NULL"
"zurück","back","retour","tagasi","terug","NULL"
"weiter","next","suivant","edasi","verder","NULL"
"Name","Name","Nom","Nimi","Naam","NULL"
"E-Mail-Adresse","E-mail-address","Adresse e-mail","E-mail","E-Mailadres","NULL"
"Telefonnummer","Telefon number","Numero de téléphone","Telefon","Telefoonnummer","NULL"
"Faxnummer","Fax number","Numero de fax","Faks","Faxnummer","NULL"
"Ihre Nachricht","Your message","Votre message","Teie teade","Uw bericht","NULL"
"Die mit * gekennzeichneten Felder müssen ausgefüllt werden!","The fields with &acute;*&acute; must be filled in!","Les champs  marqués d&acute;une *  doivent être remplis!","Tärniga (*) tähistatud väljade täitmine on kohustuslik","De met * gemarkeerde velden moeten ingevuld worden!","NULL"
"Absenden","send","envoyer","saada","versturen","NULL"
"Zurücksetzen","clear fields","annuler","tühjenda väljad","terugzetten","NULL"
"Bitte geben Sie Ihren Namen ein!","Please fill in your name!","S´il vous plaît écrivez votre nom!","palun sisestage oma nimi","Uw naam invullen a.u.b.!","NULL"
"Telefon","Telefon","Téléphone","Telefon","Telefoon","NULL"
"MO","MO","LU","E","MA","NULL"
"DI","TU","MA","T","DI","NULL"
"MI","WE","ME","K","WO","NULL"
"DO","TH","JE","N","DO","NULL"
"FR","FR","VE","R","VR","NULL"
"SA","SA","SA","L","ZA","NULL"
"SO","SU","DI","P","ZO","NULL"
"Montag","Monday","NULL","NULL","Maandag","NULL"
"Dienstag","Tuesday","NULL","NULL","Dinsdag","NULL"
"Mittwoch","Wednesday","NULL","NULL","Woensdag","NULL"
"Donnerstag","Thusday","NULL","NULL","Donderdag","NULL"
"Freitag","Friday","NULL","NULL","Vrijdag","NULL"
"Samstag","Saturday","NULL","NULL","Zaterdag","NULL"
"Sonntag","Sunday","NULL","NULL","Zondag","NULL"
"Das Reservierungs-Datum wurde nicht korrekt angegeben!","The date is not correct!","La date de réservation nétout;était pas correct!","kuupäev pole õige!","De reserveringsdatum is niet korrect aangegeven!","NULL"
"Bitte korrigieren Sie das Datum Ihrer Anfrage!","Please fill in the correct date!","S´il vous plaît corrigez la date de réservation!","Palun parandage kuupäevad","De datum in uw aanvraag a.u.b. korrigeren!","NULL"
"Suchanfrage für:","You ask for:","Vous demandez","Otsing kellele: ","Zoekopdracht voor:","NULL"
"Erwachsene","Adults","Adultes","Täiskasvanud","Volwassene","NULL"
